;Bier;Soort;Alcohol;Brouwerij
1718;'t Smisje Kuvee Elektrik 979 W;hogegisting;9%;Brouwerij De Regenboog
1719;'t Smisje Meso;hogegisting;2,5%;Brouwerij De Regenboog
1720;'t Smisje Plus;ipa;10%;Brouwerij De Regenboog
1721;'t Smisje Sleedoornbier;fruitbier;6%;Brouwerij De Regenboog
1722;'t Smisje Sleedoorn Extra;fruitbier;7%;Brouwerij De Regenboog
1723;'t Smisje Speciaal;hogegisting;10,5%;Brouwerij De Regenboog
1724;'t Smisje Tripel;tripel;9%;Brouwerij De Regenboog
1725;'t Zelfde;blond;4%;Brouwerij Bosteels
1726;'t Zwarte Gat Bier;donkerblond;6%;Brouwerij De Regenboog
1727;Taras Boulba;blond;4,5%;Brouwerij De Ranke
1728;Tatsevoet;specialebelge;6%;Brouwerij Het Alternatief
1729;Tempelier;speciaalbier;%;Brouwerij De Sleutel
1730;Tempelier;speciaalbier;6%;Brasserie du Bocq
1731;Ter Dolen Armand;blondhoppig;7%;Brouwerij Ter Dolen
1732;Ter Dolen Blond;blond;6,1%;Kasteelbrouwerij De Dool
1733;Ter Dolen Donker;bruin;7,1%;Brouwerij Ter Dolen
1734;Ter Dolen Kriek;fruitbier;4,5%;Brouwerij Ter Dolen
1735;Ter Dolen Tripel;tripel;8,1%;Brouwerij Ter Dolen
1736;Ter Dolen Winter;winterbier;9,1%;Brouwerij Ter Dolen
1737;Terracotta;blond;7%;Brouwerij De Regenboog
1738;Thouroutenaere;;%;brouwerij Louwaege
1739;Thouroutenaere;;%;brouwerij Lefebvre
1740;Thouroutenaere;blond;8,5%;Alken-Maes
1741;Timmermans Caveau Gueuze;geuze;5,5%;Brouwerij Timmermans
1742;Timmermans Faro Lambic;faro;4%;Brouwerij Timmermans
1743;Timmermans Framboise Lambic;fruitbier;4%;Brouwerij Timmermans
1744;Timmermans Gueuze Lambic;geuze;5%;Brouwerij Timmermans
1745;Timmermans Kriek Lambic;kriek;4%;Brouwerij Timmermans
1746;Timmermans Kriek Retro;fruitbier;5%;Brouwerij Timmermans
1747;Timmermans Lambicus Blanche;witbier;4,5%;Brouwerij Timmermans
1748;Timmermans Oude Gueuze;lambiek;5,5%;Brouwerij Timmermans
1749;Timmermans Oude Kriek;kriekenlambiek;5,5%;Brouwerij Timmermans
1750;Timmermans Pêche Lambic;fruitbier;4%;Brouwerij Timmermans
1751;Timmermans Strawberry Lambic;fruitbier;4%;Brouwerij Timmermans
1752;Timmermans Warme Kriek;kriek;4%;Brouwerij Timmermans
1753;Tineke Van Heule;hogegisting;8%;Brouwerij Gulden Spoor
1754;Titje;hogegisting,witbier;5%;Brasserie de Silly
1755;Toetëlèr Amber Tripel;tripel;8,5%;Brouwerij Den Toetëlèr
1756;Toetëlèr Speculaas;speculaasbier;8,5%;Brouwerij Den Toetëlèr
1757;Toetëlèr Wit;witbier;5,2%;Brouwerij Den Toetëlèr
1758;Tongerlo Blond;hogegisting,abdijbier;6%;Brouwerij Haacht
1759;Tongerlo Bruin;hogegisting,abdijbier;6%;Brouwerij Haacht
1760;Tongerlo Christmas;hogegisting,abdijbier;6,5%;Brouwerij Haacht
1761;Tongerlo Prior;hogegisting,abdijbier;8%;Brouwerij Haacht
1762;Tongerlo Winterbier;hogegisting,abdijbier;7%;Brouwerij Haacht
1763;Tonneke;hogegisting,amber;5%;Brouwerij Contreras
1764;Toria Blond;hogegisting;6,5%;Brouwerij De Graal
1765;Toria Tripel;hogegisting,tripel;8,7%;Brouwerij De Graal voor De Hoevebrouwers
1766;Totentrekker;amber;5,5%;De Proefbrouwerij
1767;Tournay;hogegisting;6,7%;Brasserie de Cazeau
1768;Tournay de Noël;stout,kerstbier;8,2%;Brasserie de Cazeau
1769;Tournay Noire;stout;7,6%;Brasserie de Cazeau
1770;Tournée Générale;spécialebelge;6,5%;Brouwerij Duvel Moortgat
1771;Tournée Générale Tripel Hop;blond,hogegisting;7,5%;Brouwerij Palm
1772;Toverhekske;amber;5,9%;Brouwerij Walrave
1773;Trammelantje;amber;6,5%;Brouwerij Strubbe
1774;Trappieter;amber;6,5%;De Proefbrouwerij
1775;Tremist;hogegisting,blond;6%;Brouwerij Van Eecke
1776;Triest Blond;hogegisting;6%;Microbrouwerij Den Triest
1777;Triest Dubbel;hogegisting;8%;Microbrouwerij Den Triest
1778;Triest Kriek;witbier,fruitbier;5,2%;Microbrouwerij Den Triest
1779;Triest Tripel;hogegisting,tripel;7,5%;Microbrouwerij Den Triest
1780;Triest X-mas;hogegisting,kerstbier;8,5%;Microbrouwerij Den Triest
1781;Triomfbier Vooruit;amber;6%;Brasserie Dupont
1782;Tripel Kanunnik;tripel;8,2%;Brouwerij en stokerij Wilderen
1783;Tripel Karmeliet;tripel;8,4%;Brouwerij Bosteels
1784;Tripel Klok;tripel;8,5%;Brouwerij Boelens
1785;Tripel Trezeke;tripel;7,5%;Brouwerij Den Triest
1786;Triple de Brabant;tripel,blond;8,5%;Groep John Martin
1787;Triple Jack;paleale;6,1%;Brouwerij Stokhove
1788;Triple Moine;tripel;7,3%;Brasserie Du Bocq
1789;Triporteur from Heaven;ale,blond;6,2%;Brouwerij Anders!
1790;Triporteur from Hell;ale,bruin;6,6%;Brouwerij Anders! voor BOMBrewery
1791;Trisser;tripel;7,5%;De Proefbrouwerij voor
1792;Triverius;tarwebier;6,8%;Brouwerij De Graal
1793;Troubadour Blond;blond;6,5%;De Proefbrouwerij voor
1794;Troubadour Imperial Stout;imperialstout;9%;De Proefbrouwerij voor Brouwerij The Musketeers
1795;Troubadour Magma;tripelindiapaleale;9%;De Proefbrouwerij voor Brouwerij The Musketeers
1796;Troubadour Obscura;stout;8,2%;De Proefbrouwerij voor Brouwerij The Musketeers
1797;Troubadour Spéciale;specialebelge;5,7%;De Proefbrouwerij voor Brouwerij The Musketeers
1798;Troublette;witbier;5%;Brasserie Caracole
1799;TRPL;hogegisting,biologisch,tripel;8%;De Proefbrouwerij
1800;Tsjeeses;hogegisting,blond;10%;De Struise Brouwers
1801;Tsjeeses Reserva;hogegisting,goud;10%;De Struise Brouwers
1802;Tumulus 800;tarwebier;6%;De Proefbrouwerij
1803;Tumulus Aura;tarwebier;5,5%;De Proefbrouwerij in opdracht van De Kale Ridders
1804;Tumulus Magna;tarwebier;9%;De Proefbrouwerij in opdracht van De Kale Ridders
1805;Tumulus Nera;tarwebier;8%;De Proefbrouwerij in opdracht van De Kale Ridders
1806;Turnhoutse Patriot;saison;6,5%;Scheldebrouwerij
1807;Tuverbol;gemengdegisting;11%;Brouwerij Loterbol
1808;Uilenspiegelbier;dubbel;7%;Brouwerij Van Steenberge
1809;Uitzet 1730;tripel;6,8%;Brouwerij Van Steenberge voor
1810;Uitzet Kriekbier;fruitbier;7,5%;Brouwerij Van Steenberge voor Brouwerij Paeleman
1811;Ulricher Extra;pils;5%;Brouwerij Girardin
1812;Ultra Ambrée;ale,amber,hogegisting;7%;Brasserie d'Ecaussinnes
1813;Ultra Fraîche;lichtblond;3,5%;Brasserie d'Ecaussinnes
1814;Ultra Soif;blond,hogegisting;5%;Brasserie d'Ecaussinnes
1815;Ultramour;fruitbier;5%;Brasserie d'Ecaussinnes
1816;Ultra Blonde;blond;8%;Brasserie d'Ecaussinnes
1817;Ultradélice;bruin;8%;Brasserie d'Ecaussinnes
1818;Ultrabrune;donkerbruin;10%;Brasserie d'Ecaussinnes
1819;Unkerzak;blond;7%;De Proefbrouwerij
1820;"Urania ""Daughter of Zeus""";bruin;9,5%;Brouwerij Eutropius
1821;Urchon;hogegisting;7,5%;Brasserie des Légendes
1822;Urthel Hop-It;blondeindiapaleale;9,5%;Brouwerij De Koningshoeven
1823;Urthel Hibernus Quentum;tripel;9%;Brouwerij De Leyerth
1824;Urthel Novicius Vertus;donkerspeciaalbier;5,9%;Brouwerij Urthel
1825;Urthel Parlus Magnificum;donkerbruin;7,5%;Brouwerij De Leyerth
1826;Urthel Saisonnière;blondspeciaalbier;6,0%;Brouwerij De Koningshoeven
1827;Urthel Samaranth;amberkleurigspeciaalbier,hogegisting;11,5%;Brouwerij De Koningshoeven
1828;Urthel Vlaemse Bock;donkerbruin;7,5%;Brouwerij De Leyerth
1829;Urthel Tonicum Finiboldus;amber;7,5%;Brouwerij De Leyerth
1830;Val-Dieu Blonde;erkendbelgischabdijbier;6%;Brouwerij Val-Dieu
1831;Val-Dieu Brune;erkendbelgischabdijbier;8%;Brouwerij Val-Dieu
1832;Val-Dieu Bière de Noël;erkendbelgischabdijbier;7%;Brouwerij Val-Dieu
1833;Val-Dieu Grand Cru;erkendbelgischabdijbier;10,5%;Brouwerij Val-Dieu
1834;Val-Dieu Triple;erkendbelgischabdijbier,tripel;9%;Brouwerij Val-Dieu
1835;Val-Dieu Triple;tripel;%;Brasserie d'Aubel
1836;Val-Dieu Triple;tripel;9%;Brouwerij Van Honsebroeck
1837;Valeir Blond;hogegisting,blond;6,5%;Brouwerij Contreras
1838;Valeir Divers;hogegisting,tripel;8,5%;Brouwerij Contreras
1839;Valeir Donker;hogegisting;6,5%;Brouwerij Contreras
1840;Valeir Extra;hogegisting,ipa;6,5%;Brouwerij Contreras
1841;Vals Paterke;tripel;8,3%;Brouwerij De Graal voor
1842;Vanderghinste oud bruin;west-vlaamsroodbruin;5,5%;Brouwerij Bockor
1843;Vapeur cochonne;belgianale;9%;Brasserie à Vapeur
1844;Vapeur cochonnette;belgianale;9%;Brasserie à Vapeur
1845;Vapeur en Folie;belgianale;8%;Brasserie à Vapeur
1846;Vapeur Légère;blond;6%;Brasserie à Vapeur
1847;Vat 44;geuze;8%;Brouwerij Boon
1848;Vedett Extra Blond;blond;5,2%;Brouwerij Duvel Moortgat
1849;Vedett Extra White;witbier;4,7%;Brouwerij Duvel Moortgat
1850;Vedett Extra ordinary IPA;blond;6%;Brouwerij Duvel Moortgat
1851;Verhaeghe Pils;pils;5,1%;Brouwerij Verhaeghe
1852;Vicardin;tripel-gueuze;7%;Brouwerij Dilewyns
1853;Vicaris 5;hogegisting;5%;Brouwerij Dilewyns
1854;Vicaris Generaal;hogegisting;8,8%;Brouwerij Dilewyns
1855;Vicaris Kerst;hogegisting,kerstbier;10%;Brouwerij Dilewyns
1856;Vicaris Tripel;hogegisting,tripel;8,5%;Brouwerij Dilewyns (vroeger
1857;Vicaris Tripel Geuze;hogegisting,tripel;%;Brouwerij Dilewyns
1858;Vicaris Quinto;hogegisting;5%;Brouwerij Dilewyns
1859;Vicaris Winter;hogegisting,kerstbier;10%;Brouwerij Dilewyns
1860;Vichtenaar;roodbruineale;5,1%;Brouwerij Verhaeghe
1861;Vieux Bruges Blanche;etiketbier,witbier;4,5%;Brouwerij Van Honsebrouck
1862;Vieux Bruges Framboise(s);fruitbier;5 en 4,5%;Brouwerij Van Honsebrouck
1863;Vieux Bruges Gueuze;geuze;5%;Brouwerij Van Honsebrouck
1864;Vieux Bruges Kriek;etiketbier;3,2%;Brouwerij Van Honsebrouck
1865;Vieux Bruges Kriek Lambic;etiketbier;5%;Brouwerij Van Honsebrouck
1866;Vieux Bruges Peche;fruitbier;3,5%;Brouwerij Van Honsebrouck
1867;Vieux Bruxelles Gueuze;etiketbier;5%;Brouwerij Van Honsebrouck
1868;Vieux Bruxelles Kriek;etiketbier;4%;Brouwerij Van Honsebrouck
1869;Vieux Temps;specialebelge;5,2%;AB Inbev
1870;Villers Tripel;abdijbier,tripel;8%;Brouwerij Huyghe
1871;Villers Vieille;abdijbier;7%;Brouwerij Huyghe
1872;Vigneronne;fruitbier,lambiek;6%;Brouwerij Cantillon
1873;Vinkenier;streekbier;10,8%;Brouwerij Eutropius
1874;Viven Ale;specialebelge;5%;De Proefbrouwerij
1875;Viven Blond;blond;6,1%;De Proefbrouwerij voor Beerdevelopment Viven
1876;Viven Bruin;dubbel;6,1%;De Proefbrouwerij voor Beerdevelopment Viven
1877;Viven Imperial IPA;imperialipa;8%;De Proefbrouwerij voor Beerdevelopment Viven
1878;Viven Porter;smokedporter;7%;De Proefbrouwerij voor Beerdevelopment Viven
1879;Vlaamsch Wit;witbier;4,5%;Brouwerij Van Honsebrouck
1880;Vlaamsche Leeuw Blondje;blond;5,5%;Brouwerij Van Steenberge
1881;Vlaamsche Leeuw Donker;bruin;7,5%;Brouwerij Van Steenberge voor De Brouwerij van Vlaanderen
1882;Vlaamsche Leeuw Tripel;tripel;8,5%;Brouwerij Van Steenberge voor De Brouwerij van Vlaanderen
1883;Vlasbier;blond;6,5%;Brouwerij Van Eecke
1884;Vlaskapelle;vlaamsroodbruin;5%;Brouwerij Gulden Spoor
1885;Vlaskop;witbier;5,5%;Brouwerij Strubbe
1886;Vleteren Alt;aledonker;8%;Brouwerij Deca
1887;Vleteren Bruin;donkereale;8%;Brouwerij Deca
1888;Vleteren Super 8 Blond;blond;8%;Brouwerij Deca
1889;Vondel;donkerbruin;8,5%;Brouwerij Liefmans
1890;Vossen met de Meynen Blond;etiketbier;6,5%;Brouwerij Het Anker
1891;Vossen met de Meynen 69;hogegisting,blond;6,9%;Brouwerij Hof ten Dormaal
1892;Vurig Bierreke;tripel;11,5%;Brouwerij DijkWaert
1893;Vuuve;witbier;5%;Brouwerij De Regenboog
1894;Waardams Blond;blond;6,1%;Brouwerij Stokhove
1895;Waardamse Dubbel;bruin;7%;Brouwerij Stokhove
1896;Waardamse Tripel;tripel;8,6%;Brouwerij Stokhove
1897;Waas Klok Bier Bruin;donker;8,5%;Brouwerij Boelens
1898;Waas Klok Bier Tripel;tripel;8,5%;Brouwerij Boelens
1899;Waase Wolf;amber;6%;Brouwerij Boelens
1900;Waaslander;witbier;5%;Brouwerij Boelens
1901;Waterloo Tripel 7 Blond;blond;;Brasserie du Marché
1902;Waterloo Double 8 Dark;bruin;8,5%;Brasserie Du Bocq
1903;Waterloo Tripel 7 Blond;blond;7,5%;Brasserie Du Bocq
1904;Watneys Scotch Ale;scotch;8%;Brouwerij Union
1905;Watou Tripel;tripel;7,5%;Brouwerij St. Bernardus
1906;Watou's Wit;witbier;5%;Brouwerij Van Eecke
1907;Wechelse Tripel;etiketbier;7,5%;Brouwerij St. Bernardus voor
1908;West Pils;pils;5%;Brouwerij Het Sas
1909;Westmalle Dubbel;trappist;7%;Brouwerij Westmalle
1910;Westmalle Tripel;trappist;9,5%;Brouwerij Westmalle
1911;Westmalle Extra;trappist;4,8%;Brouwerij Westmalle
1912;Westoek X;hogegisting;6%;De Struise Brouwers
1913;Westoek XX;hogegisting;8%;De Struise Brouwers
1914;Westvleteren Blond;trappist;5,8%;Sint-Sixtusabdij van Westvleteren
1915;Westvleteren Zes;trappist;6,2%;Sint-Sixtusabdij van Westvleteren
1916;Westvleteren Acht;trappist;8%;Sint-Sixtusabdij van Westvleteren
1917;Westvleteren Twaalf;trappist;10,2%;Sint-Sixtusabdij van Westvleteren
1918;Wevelgemse Tripel;tripel;8%;Brouwerij De Ranke
1919;White by Mystic;witbier;5,1%;Brouwerij Haacht
1920;Wieze Christmas Tripel Hop;tripelkerstbier;8%;Brouwerij Wieze
1921;Wieze Pils;pils;%;Brouwerij Van Roy
1922;Wieze Tripel;tripel;8%;Brouwerij Roman
1923;Wieze Tripel Blond;tripel;8%;Brouwerij Wieze
1924;Wieze Tripel zoet Bruin;tripel;8%;Brouwerij Wieze
1925;Wildebok;hogegisting,bockbier;6,5%;De Scheldebrouwerij
1926;Wilderen Goud;hogegisting;6,2%;Brouwerij Wilderen
1927;Wilderen Kriek;kriek;3,5%;Brouwerij Wilderen
1928;Wilderen Cuvee Clarisse;roodbier;9,2%;Brouwerij Wilderen
1929;Wild Jo;blond,metwildegisten;5,8%;Brouwerij De Koninck
1930;Willy Kriegelbier;donkerblond;7%;Huisbrouwerij Sint Canarus
1931;Winter Zjef;winterbier;9%;Brouwerij 't Paenhuys
1932;Winterkoninck;robijnrood;6,5%;Brouwerij De Koninck
1933;Winterkoninkske;hogegisting;8,3%;Brouwerij Sint-Jozef
1934;Winterkoninkske Haspengouwse Grand Cru;hogegisting,kerstbier;13%;Brouwerij Sint-Jozef voor brouwerij Kerkom
1935;Wintersnood;winterbier;6,4%;‘t Hofbrouwerijke
1936;Witbier Haacht;witbier;5,1%;Brouwerij Haacht
1937;Wit Goud;hogegisting;8%;Brouwerij Hof ten Dormaal
1938;Witheer;witbier;6,2%;Scheldebrouwerij
1939;Witheer;witbier;5%;Scheldebrouwerij
1940;Witkap Pater Dubbel;hogegisting,bruin;7%;Brouwerij Slaghmuylder
1941;Witkap Pater Special;hogegisting,amber;5,5%;Brouwerij Slagmuylder
1942;Witkap Pater Stimulo;hogegisting,blond;6%;Brouwerij Slaghmuylder
1943;Witkap Pater Tripel;hogegisting,tripel;7,5%;Brouwerij Slagmuylder
1944;Wittekerke;witbier;5%;Brouwerij Bavik
1945;Wittekerke Passion;witbier,fruitbier;5,8%;Brouwerij Bavik
1946;Wittekerke Rosé;witbier,fruitbier;4,3%;Brouwerij Bavik
1947;Wittekerke Special;witbier;5,8%;Brouwerij Bavik
1948;Witte Madam;hogegisting,amber;8,5%;Scheldebrouwerij Hoogstraten
1949;Witte Pol;witbier;5,6%;Brouwerij Inter-Pol
1950;Wittoen;hogegisting,tripel;7%;Brouwerij Strubbe
1951;Wolf 6;blond;6,9%;Brouwerij Lupus
1952;Wolf 7;blond;7,4%;Brouwerij Lupus
1953;Wolf 8;donkerbruin;8,5%;Brouwerij Lupus
1954;Wolf 9;amber;9%;Brouwerij Lupus
1955;Wolf Carte Blanche;blond;8,5%;Brouwerij Lupus
1956;Wolf Black;;5,6%;Brouwerij Lupus
1957;Wostyntje;mosterdbier;7%;Brouwerij De Regenboog
1958;Xenophon's Wine;;11%;De Struise Brouwers
1959;X-Mas Beer;hogegisting,blond;8,5%;Brouwerij Contreras
1960;XX Bitter;hogegisting,blond;6,2%;Brouwerij De Ranke
1961;XXX Bitter;hogegisting,blond;6%;Brouwerij De Ranke
1962;Yperman;ale;5,5%;Brouwerij Het Sas
1963;Yellow Mortal;ale;7,2%;Brouwerij Mortal's Beers
1964;Zatte Bie;donker;9%;Brouwerij De Bie
1965;Zeezuiper;goudblondetripel;8%;De Scheldebrouwerij
1966;Zennenat;hogegisting;6,0%;Brouwerij Den Herberg
1967;Zeunt;hogegisting;7%;De Proefbrouwerij
1968;Zeven Zonden Gula;hogegisting;9%;Brouwerij Gulden Spoor
1969;Zeven Zonden Invidia;hogegisting;10%;Brouwerij Gulden Spoor voor bierfirma Hugel
1970;Zeven Zonden Luxuria;hogegisting;8,5%;Brouwerij Gulden Spoor voor bierfirma Hugel
1971;Zingende Blondine;hogegisting;9,8%;Brouwerij 't Gaverhopke
1972;Zinnebir;blond;5,8%;Brouwerij De Ranke
1973;Zoeg;pils;5%;brouwerij Pieraerts
1974;Zoeg;pils;5%;Brouwerij De Vlier
1975;ZoemZoem;amber,honingbier;8%;Brouwerij Donum Ignis
1976;Zomer Zjef;stout;9%;Brouwerij 't Paenhuys
1977;Zonderik 100;blond,hogegisting;7%;De Proefbrouwerij
1978;Zonderik Dubbel Donker;hogegisting;8%;De Proefbrouwerij voor Zonderik Beer Company
1979;Zonderik Tripel;blond,tripel;8%;De Proefbrouwerij voor Zonderik Beer Company
1980;Zonderix;amber,tripel;10%;De Proefbrouwerij voor Zonderik Beer Company
1981;Zonnegemse Zot;amber;7,1%;De Proefbrouwerij
1982;Zotte Bloare;bruin;5,5%;Brouwerij 't Paenhuys
1983;Zottegemse Grand Cru;amber;8,4%;Brouwerij Strubbe
1984;ZUIDerbierke;hogegisting,bruinrood;8,2%;Brouwerij Donum Ignis
1985;Zulte;hogegisting,lichtbruin;4,7%;Alken-Maes
1986;Zwalmse Tripel;tripel;8%;De Proefbrouwerij
1987;Zwarte Piet;bovengisting;8%;Zennebrouwerij
1988;Zwarte Piet;bruin;8,5%;Brouwerij Boelens
1989;Zwarte Pol;stout;6,5%;Brouwerij Inter-Pol
1990;Zwarte Zjef;stout;9%;Brouwerij 't Paenhuys
1991;Zwet.be;stout;7%;De Proefbrouwerij voor
1992;Zwijntje;blond(etiketbier);8%;Brouwerij Bios
